literacy_rate_percent_all ,Number of doctors per 1000 people (most recent),Nurses Per 1000,Health Spending as a percentage of GDP,Total Health Spending per Capita,Prepaid Private Spending Per Capita,Out-of-Pocket Spending per Capita,Development Assistance for Health Spending per Capita,Neonatal Mortality,Under-5 Mortality,UHC Index,Air Pollution Mortality,WaSH,Output
75,0.668,3.827,0.052,715,37,392,11,43,57.1,47.3,57.2,52.5,58.5
79.3,6.255,0.864,0.061,487,30,255,47,39.5,43.3,46.3,42.1,31.6,51.5
30.4,0.075,0.368,0.065,102,2,42,46,10.5,13.4,19.7,6,11.8,26.4
59.9,0.078,0.653,0.079,121,2,39,50,13.1,20.4,17.4,0.9,10.7,23.4
88.5,0.214,0.53,0.046,318,0,126,23,28.4,45.1,39.5,44.5,37.6,49.8
60.7,0.236,0.101,0.076,135,6,45,70,20.7,26.7,21.1,11.3,20.5,32.1
88.5,0.39,1.133,0.074,370,19,187,15,37.6,48.6,46.9,35.7,37,46.5
99.1,3.093,6.633,0.072,2031,88,588,0,73.9,79.7,74.6,48.9,78.9,82.1
99,3.791,15.176,0.088,4205,144,701,0,100,100,100,98.4,92.7,97.1
72.1,0.758,2.094,0.037,236,20,152,3,20.9,34.5,38.3,15.2,10.9,41.2
93.9,0.201,1.303,0.034,383,49,185,3,33.5,44.7,39.2,40.9,27.9,44.5
86.8,1.491,1.551,0.071,1232,93,539,0,39.5,53,70.2,49.5,64.9,71.8
79.7,0.854,1.81,0.037,562,0,332,2,31.4,42,42.4,28.5,47.6,51.1
82,2.961,12.398,0.08,5371,690,789,0,81.3,87.9,93.4,87,93.6,94.6
97.8,3.576,5.072,0.071,2560,290,597,0,87.7,89.9,86.6,84.3,80.5,84.8
99.2,4.021,5.718,0.09,3445,76,784,0,86.1,92.6,94.5,86.7,99.9,94.9
88.7,0.472,1.666,0.058,510,81,128,9,38.4,50.5,58.6,65.8,54.7,62
99,2.367,11.241,0.104,4286,0,567,0,100,97,98.2,96.7,82.5,94.1
97.9,3.426,3.114,0.065,730,78,175,6,41.3,53.7,67.2,56.6,70,72.2
99.8,3.274,8.542,0.039,1017,7,379,3,52.6,59.4,61.6,39,76.6,69.1
78,0.204,1.582,0.058,187,24,56,50,25.9,32.1,47.5,32.9,0.4,39.5
0,0.203,3.706,0.101,189,0,9,36,24.5,30.5,22.5,20.6,17.4,26.5
96.2,2.608,7.048,0.036,2640,44,403,0,59.8,67.6,79.5,46.8,70.6,80.7
99.5,1.854,6.361,0.086,308,5,144,25,27.9,41.5,55.9,29.5,59.2,60.6
79.9,0.491,0.959,0.028,178,5,80,32,16.5,25.6,26.9,12.6,31.5,36.6
99.9,3.209,4.903,0.065,1683,17,632,0,78.9,83.4,73.6,55.1,91.9,80.7
93.9,2.38,2.562,0.074,1207,197,387,5,60.8,67.7,82.3,64.7,68.3,85.6
79.4,0.047,0.591,0.082,262,6,45,72,14.3,22.2,24.3,11.1,6.5,32
47.6,0.023,0.456,0.539,481,1,27,441,20,22.7,31.8,16,7,32.2
91,2.092,6.905,0.08,502,48,198,1,53.8,58.8,65,44.7,65.2,71.1
99.8,4.379,8.05,0.064,1941,19,628,0,82,83.8,70.9,58,88.8,80.5
100,2.921,12.326,0.062,6530,376,695,0,99.7,100,97.5,83,89.1,96
97.8,2.88,3.793,0.063,921,26,320,7,53.5,66.5,63,39.5,89,75.1
64.7,0.143,0.218,0.053,78,5,17,22,15.5,18.1,18.5,9.4,7.9,29.6
65.8,0.018,0.336,0.118,135,6,11,91,18,21.5,36.6,18.4,7.5,32.2
94.6,1.533,4.124,0.04,1072,115,392,0,74.6,78,64.8,51.9,60.6,68.1
99.3,3.611,8.222,0.116,1850,32,333,3,62.1,72.8,79.3,56.4,64.4,70.4
38.7,0.085,0.443,0.056,110,5,52,35,6,9.1,28.1,17.7,6,34.9
94.1,3.908,9.141,0.096,3642,76,1347,0,63.1,76.9,87.9,81.2,95.9,89.9
98.3,0.456,1.74,0.18,604,20,78,109,41.4,48.7,27.7,45.2,45.7,43
52.1,0.102,0.658,0.045,184,8,89,15,18.3,28.7,39.3,21.2,15.6,40.6
90.6,2.003,3.347,0.053,1094,9,577,1,45,58.4,65.7,67.1,65.6,68.7
94.4,2.231,2.645,0.059,1081,70,447,2,49.8,56.1,57.3,68.8,58,66.3
99.4,3.198,6.492,0.103,543,5,246,40,48.8,63,63.4,42.8,75.1,67.4
98.4,3.262,4.068,0.039,496,16,193,31,38.6,48.8,54.8,20.1,69.8,53.4
98.7,2.343,5.74,0.059,985,5,320,5,73.6,81.9,73.7,41.7,98.9,81
72.4,0.618,0.872,0.055,454,14,241,4,33.8,48.3,53.6,53.2,49.2,57.6
58.8,0.055,0.401,0.057,72,3,5,54,17.5,19.1,30.9,21.5,16.2,30
93.1,0.568,0.93,0.052,301,4,215,16,30.9,42.7,38.5,23.5,30.5,41.6
81.9,0.372,2.76,0.088,1033,211,88,83,29.5,36.6,48.1,28.3,19.6,44.6
64.7,0.598,2.041,0.064,160,17,92,23,25.2,41.1,42.2,12.2,18.3,40
99,3.478,10.542,0.107,5579,397,677,0,80.2,88.5,97,81.5,86.8,96.1
99,3.061,11.148,0.095,3648,269,459,0,72.7,79.7,89.2,100,86.2,92.4
82.8,0.914,1.384,0.081,432,10,149,38,49.7,56.7,65.5,56.3,51.7,61.2
19.1,0.019,0.14,0.065,67,1,37,13,15.9,11,25,5.7,5.9,28.4
59.6,0.376,1.489,0.035,216,4,159,18,7.7,10.8,35,23.1,11.1,41.9
100,3.507,4.156,0.072,134,8,74,1,34.9,43.9,50.1,7.8,58.3,53.4
100,4.385,17.824,0.099,7024,28,1004,0,91.8,96.4,99.1,97.1,83.4,96.6
94.8,1.915,4.153,0.037,1684,87,107,0,64.3,71.2,84.3,44.5,64.4,76.2
56.4,0.978,0.502,0.027,142,3,91,10,10.7,27.2,26.1,13.4,22.9,37.6
98.4,1.6,3,0.097,390,75,157,2,45.2,54.5,54.8,38.4,53.1,57.4
95,1.594,2.33,0.07,1588,109,486,11,50.5,54.4,61.8,75.4,53.5,68.3
64.2,0.055,0.532,0.038,121,0,7,24,23.2,29.6,18.3,1.1,14.2,31.8
95.6,1.286,1.049,0.078,738,71,268,4,40,51.5,49.2,45.7,53.4,56.7
94.5,1.116,1.493,0.054,683,46,212,19,48.1,54.4,67.3,56,49.2,64.3
96.3,1.11,0.24,0.044,333,49,178,8,37.6,45.7,38.1,17.4,37.6,51.2
99.8,2.29,5.694,0.062,1757,88,419,0,77.3,85,78.4,58,89.5,82.4
95.4,4.426,6.377,0.09,2712,167,750,0,91.1,93.1,87.4,87.9,85.9,85.7
97.8,1.964,5.7,0.027,3251,285,233,0,61.2,68,87.7,54.9,83.1,81.7
98.8,2.669,6.415,0.049,1128,8,238,1,62.6,67.4,67.8,47.9,81.1,78.3
99.7,3.975,8.683,0.057,1544,42,551,0,64.2,70.2,61.4,50,81.9,75.1
70.5,0.064,0.832,0.079,149,13,39,61,25.9,29.3,41.5,20.9,14.1,36
90.1,0.103,4.408,0.059,714,32,366,31,35.4,54.2,55.5,74.6,61.3,63.3
95.6,0.574,1.537,0.047,523,11,101,66,40.4,54.9,47.5,57.8,50.5,57.4
99,0.344,1.537,0.065,342,3,35,72,63.4,66.6,34.8,45.8,51.4,47.6
74.9,0.541,2.057,0.065,216,4,38,71,35,40.4,47.7,23.7,27.7,39.3
94.7,2.568,5.207,0.056,3138,418,467,0,70.7,76.3,78.7,36.7,56.4,77.1
55.7,0.068,0.309,0.047,119,13,44,30,22.9,29.1,29,14.8,14,31.1
98.1,2.463,4.719,0.095,1398,20,562,2,62.9,71.7,65.6,47.2,92.1,77.2
95.2,0.984,4.433,0.034,957,1,25,2,48.3,63.2,55.5,66.6,60.5,65.6
48.1,0.024,0.319,0.164,248,11,118,96,8.3,9.4,27.6,6.4,5.1,31
96.8,2.276,7.12,0.042,3657,610,1158,0,100,99.7,95.1,74.5,78.4,90.6
99.6,3.45,6.02,0.07,2216,52,413,0,73.5,77.9,74.6,56.3,87.6,83.3
99.7,2.82,8.84,0.085,2806,456,353,0,91.9,98.6,92.8,76.6,96,90.8
76.6,0.2,1.78,0.079,157,0,5,50,36.2,44.8,20.5,7.8,27,32.4
49.7,0.029,0.078,0.067,42,1,16,20,13.4,13.5,0.1,6,6.3,19
94.3,0.818,5.229,0.081,1109,403,86,25,30.5,32.3,43.9,42.8,25.4,49.7
97.9,2.326,6.898,0.074,2835,194,1042,0,92.1,90.4,94.7,76.8,80.1,90.3
26.8,0.02,0.84,0.026,81,3,47,9,11.8,14.4,12.1,12.2,4.9,26.8
98.1,3.872,5.324,0.091,3363,161,815,0,88.4,92.1,97.5,94.2,96.6,91.9
92.6,0.881,2.794,0.03,360,24,131,11,65.9,75.2,72.2,45.8,57.6,70.6
53.5,0.314,1.157,0.062,282,9,180,8,15.6,24.1,33.3,16.4,29.3,45.8
95.6,0.817,5.273,0.06,993,347,112,22,22.7,37.3,49.1,51.3,42.5,54.5
87.5,0.147,1.386,0.074,693,60,74,131,29.1,29.3,38.9,25.7,14.3,40.5
99,4.188,11.876,0.11,5550,63,845,0,94.6,97,98.3,100,84.7,95.5
99,4.248,18.23,0.119,7465,485,1714,0,77.2,87.7,99.8,95.5,95.5,95.6
86.4,1.546,2.302,0.046,241,15,122,6,53.1,44.2,70,43.1,75.1,67.2
95.55,1.812,2.342,0.055,2535,321,693,0,81.7,83.6,79.2,67.3,78.7,85.4
99.8,1.714,5.275,0.068,200,1,128,15,27.7,35.7,49,20.5,40.1,51.7
80.3,0.022,0.416,0.058,161,4,46,52,21.8,26.3,35.9,19.1,9.7,33.9
96.7,0.47,2.294,0.037,614,58,75,2,71.2,76.5,71.5,59.9,47,69.5
95.5,2.263,3.976,0.073,1818,430,532,0,59.6,65,57.5,72,60.1,66.4
55.5,0.107,1.618,0.081,141,7,23,62,21.3,29.5,39.5,12.5,16.8,35.7
67.5,0.078,1.304,0.027,103,2,11,33,31.5,37.6,30.7,26.7,30.5,43.4
66.5,0.058,0.3,0.062,96,6,52,11,17,21.4,29.9,7.7,12,32
99.4,0.558,3.881,0.046,241,13,31,54,43,52.7,45.4,53.6,49,49.6
99,1.821,3.281,0.059,2024,180,749,0,29.9,49.6,53.8,66,59.1,64.3
81.8,1.289,2.642,0.067,791,28,313,2,49.6,60.9,67.6,54.3,61,69.4
95,1.749,2.617,0.042,1029,50,176,1,45.1,55.9,69.2,60.4,71.4,74.4
99.7,2.291,4.769,0.061,1171,56,826,2,27.7,36.1,49,35,60.9,61.6
73.9,0.093,0.648,0.075,159,19,63,55,20.1,23.7,27,15.6,12.8,31.4
99.8,3,7.039,0.064,598,21,280,9,59.3,68.7,61.2,42.1,87.9,74.6
